Comprehensive Analysis of PSMG3 in Pan-Cancer  and Validation of Its Role in Hepatocellular Carcinoma									
Table S3  GO analysis of DEGs of PSMG3 in LIHC									
ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
BP	GO:0007586	digestion	8/263	134/18870	0.000588355	0.006929256	0.00574941	CYP39A1/CYP8B1/MOGAT2/SPINK1/AKR1D1/MDK/PBLD/HAMP	8
BP	GO:0006633	fatty acid biosynthetic process	9/263	168/18870	0.000596661	0.006998742	0.005807066	CYP2C9/PDK4/CYP2C8/CYP2E1/CYP1A2/APOA5/ACSM2A/ACSM5/CYP3A4	9
BP	GO:0044403	biological process involved in symbiotic interaction	13/263	322/18870	0.000618356	0.007224086	0.00599404	RPSA/HRG/MBL2/ARG1/CFHR5/CDK1/ROMO1/PLG/CLEC4G/FCN3/SLC10A1/PGLYRP2/SLC52A2	13
BP	GO:0071320	cellular response to cAMP	5/263	50/18870	0.00064281	0.007479735	0.00620616	CRHBP/CPS1/AQP9/FBP1/PCK1	5
BP	GO:0032869	cellular response to insulin stimulus	10/263	206/18870	0.000649817	0.007531149	0.006248819	PDK4/IGFBP1/IGF2/GHR/FBP1/HMGCS2/HRAS/PKM/PCK1/AHSG	10
BP	GO:0090235	regulation of metaphase plate congression	3/263	13/18870	0.000690289	0.007968461	0.00661167	AURKB/CDCA8/BIRC5	3
BP	GO:0046460	neutral lipid biosynthetic process	5/263	51/18870	0.000704669	0.008070401	0.006696253	ACSL1/MOGAT2/THRSP/MFSD2A/PCK1	5
BP	GO:0046463	acylglycerol biosynthetic process	5/263	51/18870	0.000704669	0.008070401	0.006696253	ACSL1/MOGAT2/THRSP/MFSD2A/PCK1	5
BP	GO:1903034	regulation of response to wounding	9/263	173/18870	0.000736353	0.0084002	0.006969897	HRG/SPP1/F11/FGA/SERPINC1/PLG/FGG/MDK/HRAS	9
BP	GO:0002526	acute inflammatory response	7/263	107/18870	0.000752197	0.008514168	0.007064459	MBL2/DNASE1L3/SAA1/SAA2/HP/UGT1A1/AHSG	7
BP	GO:0048144	fibroblast proliferation	7/263	107/18870	0.000752197	0.008514168	0.007064459	CDK1/CCNB1/E2F1/S100A6/SPHK1/HRAS/CKS2	7
BP	GO:0050819	negative regulation of coagulation	5/263	52/18870	0.000770872	0.008658177	0.007183948	HRG/F11/FGA/PLG/FGG	5
BP	GO:0051180	vitamin transport	5/263	52/18870	0.000770872	0.008658177	0.007183948	AFM/SLC2A2/TTPA/SLC52A2/SLC22A1	5
BP	GO:0046887	positive regulation of hormone secretion	8/263	141/18870	0.000822405	0.009201443	0.007634712	ABAT/SPP1/NMB/FGA/SPINK1/ANO1/FGG/SLC2A2	8
BP	GO:0048146	positive regulation of fibroblast proliferation	5/263	53/18870	0.00084161	0.009380238	0.007783064	CCNB1/E2F1/S100A6/SPHK1/HRAS	5
BP	GO:0007093	mitotic cell cycle checkpoint signaling	8/263	142/18870	0.00086121	0.009473644	0.007860566	CDK1/CCNB1/AURKB/CDCA8/CDC20/BIRC5/ZWINT/SPC24	8
BP	GO:0006000	fructose metabolic process	3/263	14/18870	0.00086953	0.009473644	0.007860566	ALDOA/FBP1/ALDOB	3
BP	GO:0042182	ketone catabolic process	3/263	14/18870	0.00086953	0.009473644	0.007860566	HSD17B6/ALDH8A1/CYP4F2	3
BP	GO:0050667	homocysteine metabolic process	3/263	14/18870	0.00086953	0.009473644	0.007860566	CPS1/BHMT/CTH	3
BP	GO:0051231	spindle elongation	3/263	14/18870	0.00086953	0.009473644	0.007860566	AURKB/CDCA8/BIRC5	3
BP	GO:0051255	spindle midzone assembly	3/263	14/18870	0.00086953	0.009473644	0.007860566	AURKB/CDCA8/BIRC5	3
BP	GO:1905954	positive regulation of lipid localization	7/263	111/18870	0.000934776	0.010146506	0.00841886	SPP1/CYP8B1/NMB/ACSL1/ABCB4/CYP4A11/CYP4F2	7
BP	GO:0009259	ribonucleotide metabolic process	14/263	385/18870	0.001068659	0.011505102	0.009546127	DPYS/BAAT/PDK4/ACSL1/SLC27A2/AASS/ALDOA/GLYAT/ACSM2A/ACSM5/HMGCS2/NME1/TDO2/SULT2A1	14
BP	GO:0009071	serine family amino acid catabolic process	3/263	15/18870	0.001075761	0.011505102	0.009546127	CDO1/AGXT/SDS	3
BP	GO:0030174	regulation of DNA-templated DNA replication initiation	3/263	15/18870	0.001075761	0.011505102	0.009546127	MCM7/CDT1/MCM2	3
BP	GO:1903826	L-arginine transmembrane transport	3/263	15/18870	0.001075761	0.011505102	0.009546127	SLC38A4/SLC7A2/SLC25A15	3
BP	GO:0006084	acetyl-CoA metabolic process	4/263	33/18870	0.001098021	0.011700155	0.009707968	PDK4/AASS/HMGCS2/TDO2	4
BP	GO:0002697	regulation of immune effector process	14/263	389/18870	0.001178799	0.012515058	0.010384118	MBL2/ARG1/FCN2/DNASE1L3/COLEC10/C4BPA/CLEC4G/FCN3/PGLYRP2/HPX/PYCARD/CD5L/RPS19/PCK1	14
BP	GO:0072527	pyrimidine-containing compound metabolic process	6/263	85/18870	0.001207096	0.012768883	0.010594724	DPYS/CPS1/DTYMK/NME1/ALDH6A1/TK1	6
BP	GO:0006206	pyrimidine nucleobase metabolic process	3/263	16/18870	0.001310438	0.01366331	0.011336857	DPYS/CPS1/ALDH6A1	3
BP	GO:0006555	methionine metabolic process	3/263	16/18870	0.001310438	0.01366331	0.011336857	BHMT/GNMT/MAT1A	3
BP	GO:0055091	phospholipid homeostasis	3/263	16/18870	0.001310438	0.01366331	0.011336857	ABCB11/ANGPTL3/TLCD1	3
BP	GO:0072378	"blood coagulation, fibrin clot formation"	3/263	16/18870	0.001310438	0.01366331	0.011336857	FGA/FGG/F13B	3
BP	GO:0006090	pyruvate metabolic process	7/263	118/18870	0.00133669	0.013887258	0.011522673	PDK4/SDS/ALDOA/FBP1/PKM/PCK1/ALDOB	7
BP	GO:0000038	very long-chain fatty acid metabolic process	4/263	35/18870	0.001374695	0.014231273	0.011808113	ACSL1/SLC27A2/CYP4F2/SLC27A5	4
BP	GO:0051047	positive regulation of secretion	12/263	310/18870	0.001422609	0.014675069	0.012176343	ABAT/SLC6A1/SPP1/NMB/FGA/SPINK1/ANO1/CYP4A11/FGG/ABCB11/SLC2A2/CYP4F2	12
BP	GO:0045807	positive regulation of endocytosis	8/263	155/18870	0.001513149	0.015553887	0.012905525	MBL2/FCN2/COLEC10/APOA5/GPC3/FCN3/PYCARD/AHSG	8
BP	GO:0000097	sulfur amino acid biosynthetic process	3/263	17/18870	0.001574942	0.016019249	0.013291649	BHMT/CDO1/CTH	3
BP	GO:0009068	aspartate family amino acid catabolic process	3/263	17/18870	0.001574942	0.016019249	0.013291649	AASS/SDS/MAT1A	3
BP	GO:0044539	long-chain fatty acid import into cell	3/263	17/18870	0.001574942	0.016019249	0.013291649	ACSL1/SLC27A2/SLC27A5	3
BP	GO:0006006	glucose metabolic process	9/263	193/18870	0.001585989	0.016046636	0.013314373	PDK4/IGF2/GNMT/SDS/FBP1/PKM/PCK1/G6PD/ALDOB	9
BP	GO:0046456	icosanoid biosynthetic process	5/263	61/18870	0.001594183	0.016046636	0.013314373	CYP2C9/CYP2C8/CYP4A11/PYCARD/CYP4A22	5
BP	GO:0050994	regulation of lipid catabolic process	5/263	61/18870	0.001594183	0.016046636	0.013314373	AADAC/APOA5/ABCB11/ANGPTL3/MFSD2A	5
BP	GO:0051260	protein homooligomerization	9/263	194/18870	0.001643368	0.01648468	0.013677831	C9/PEG10/GNMT/ALDOA/PYCARD/MAT1A/CTH/TDO2/TK1	9
BP	GO:0019318	hexose metabolic process	10/263	233/18870	0.001650075	0.016495076	0.013686458	PDK4/IGF2/GNMT/SDS/ALDOA/FBP1/PKM/PCK1/G6PD/ALDOB	10
BP	GO:0071715	icosanoid transport	5/263	63/18870	0.00184156	0.018346224	0.01522241	NMB/CYP4A11/SLCO1B1/CYP4F2/SLC22A1	5
BP	GO:0051917	regulation of fibrinolysis	3/263	18/18870	0.001870579	0.018418443	0.015282333	HRG/F11/PLG	3
BP	GO:1901978	positive regulation of cell cycle checkpoint	3/263	18/18870	0.001870579	0.018418443	0.015282333	AURKB/CDCA8/BIRC5	3
BP	GO:1904666	regulation of ubiquitin protein ligase activity	3/263	18/18870	0.001870579	0.018418443	0.015282333	UBE2S/UBE2C/CDC20	3
BP	GO:0006260	DNA replication	11/263	278/18870	0.001874135	0.018418443	0.015282333	RNASEH2A/MCM7/CDK1/S100A11/CDT1/HMGA1/FEN1/MCM2/RECQL4/RRM2/TK1	11
BP	GO:0009150	purine ribonucleotide metabolic process	13/263	365/18870	0.001919135	0.018771703	0.015575443	BAAT/PDK4/ACSL1/SLC27A2/AASS/ALDOA/GLYAT/ACSM2A/ACSM5/HMGCS2/NME1/TDO2/SULT2A1	13
BP	GO:0044272	sulfur compound biosynthetic process	8/263	161/18870	0.001922986	0.018771703	0.015575443	PDK4/ACSL1/BHMT/SLC27A2/CDO1/FMO3/MAT1A/CTH	8
BP	GO:1901987	regulation of cell cycle phase transition	15/263	456/18870	0.001930255	0.01877964	0.015582028	CDK1/CCNB1/CDT1/AURKB/CDCA8/UBE2C/E2F1/UBD/CDC20/BIRC5/CDCA5/ZWINT/CDKN2A/RRM2/SPC24	15
BP	GO:0051781	positive regulation of cell division	6/263	94/18870	0.002025828	0.019643782	0.016299032	IGF2/AURKB/CDCA8/VEGFB/MDK/BIRC5	6
BP	GO:0045931	positive regulation of mitotic cell cycle	7/263	128/18870	0.00213175	0.0206022	0.017094261	CDK1/CCNB1/UBE2C/CDC20/SPHK1/CDCA5/RRM2	7
BP	GO:0072376	protein activation cascade	3/263	19/18870	0.002198583	0.021107848	0.017513812	FGA/FGG/F13B	3
BP	GO:1990822	basic amino acid transmembrane transport	3/263	19/18870	0.002198583	0.021107848	0.017513812	SLC38A4/SLC7A2/SLC25A15	3
BP	GO:0006730	one-carbon metabolic process	4/263	40/18870	0.002272341	0.021672915	0.017982665	CA9/GNMT/ALDH1L1/MAT1A	4
BP	GO:0033260	nuclear DNA replication	4/263	40/18870	0.002272341	0.021672915	0.017982665	CDT1/FEN1/MCM2/TK1	4
BP	GO:0015909	long-chain fatty acid transport	5/263	67/18870	0.002418966	0.02299599	0.01908046	NMB/ACSL1/SLC27A2/MFSD2A/SLC27A5	5
BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	6/263	98/18870	0.002501191	0.023700214	0.019664776	CDK1/CCNB1/UBE2C/CDC20/CDCA5/RRM2	6
BP	GO:0006071	glycerol metabolic process	3/263	20/18870	0.00256012	0.024023837	0.019933295	MOGAT2/ANGPTL3/PCK1	3
BP	GO:0015812	gamma-aminobutyric acid transport	3/263	20/18870	0.00256012	0.024023837	0.019933295	ABAT/SLC6A1/SLC6A8	3
BP	GO:0140354	lipid import into cell	3/263	20/18870	0.00256012	0.024023837	0.019933295	ACSL1/SLC27A2/SLC27A5	3
BP	GO:0045787	positive regulation of cell cycle	12/263	334/18870	0.002640326	0.024671913	0.020471024	IGF2/CDK1/CCNB1/AURKB/CDCA8/FEN1/UBE2C/CDC20/SPHK1/BIRC5/CDCA5/RRM2	12
BP	GO:0061041	regulation of wound healing	7/263	133/18870	0.002646145	0.024671913	0.020471024	HRG/F11/FGA/SERPINC1/PLG/FGG/HRAS	7
BP	GO:0043627	response to estrogen	5/263	69/18870	0.002752364	0.025580273	0.021224717	CRHBP/ABCB11/SLC10A1/CD24/DTYMK	5
BP	GO:0006081	cellular aldehyde metabolic process	5/263	70/18870	0.002930976	0.027153533	0.022530098	ALDH8A1/ADH4/AKR7A3/AGXT/ALDOB	5
BP	GO:0009070	serine family amino acid biosynthetic process	3/263	21/18870	0.002956287	0.027301078	0.02265252	AGXT/HAO1/CTH	3
BP	GO:0072528	pyrimidine-containing compound biosynthetic process	4/263	43/18870	0.002970111	0.027341935	0.02268642	CPS1/DTYMK/NME1/TK1	4
BP	GO:0046364	monosaccharide biosynthetic process	6/263	102/18870	0.003055855	0.02804253	0.023267725	GNMT/SDS/FBP1/PCK1/G6PD/ALDOB	6
BP	GO:0051259	protein complex oligomerization	10/263	255/18870	0.003175435	0.029016898	0.024076187	C9/PEG10/GNMT/ALDOA/PYCARD/MAT1A/RRM2/CTH/TDO2/TK1	10
BP	GO:0019216	regulation of lipid metabolic process	12/263	342/18870	0.003197721	0.029016898	0.024076187	AADAC/PDK4/HSD17B13/THRSP/APOA5/ABCB11/ANGPTL3/MFSD2A/EPHX2/SPHK1/PCK1/UGT1A1	12
BP	GO:0022600	digestive system process	6/263	103/18870	0.003207822	0.029016898	0.024076187	CYP8B1/MOGAT2/SPINK1/MDK/PBLD/HAMP	6
BP	GO:0044786	cell cycle DNA replication	4/263	44/18870	0.003231858	0.029016898	0.024076187	CDT1/FEN1/MCM2/TK1	4
BP	GO:0045840	positive regulation of mitotic nuclear division	4/263	44/18870	0.003231858	0.029016898	0.024076187	IGF2/UBE2C/CDC20/SPHK1	4
BP	GO:0046006	regulation of activated T cell proliferation	4/263	44/18870	0.003231858	0.029016898	0.024076187	ARG1/IGF2/PYCARD/CD24	4
BP	GO:0090207	regulation of triglyceride metabolic process	4/263	44/18870	0.003231858	0.029016898	0.024076187	AADAC/THRSP/APOA5/MFSD2A	4
BP	GO:0015802	basic amino acid transport	3/263	22/18870	0.003388116	0.030048872	0.024932447	SLC38A4/SLC7A2/SLC25A15	3
BP	GO:0019400	alditol metabolic process	3/263	22/18870	0.003388116	0.030048872	0.024932447	MOGAT2/ANGPTL3/PCK1	3
BP	GO:0051443	positive regulation of ubiquitin-protein transferase activity	3/263	22/18870	0.003388116	0.030048872	0.024932447	UBE2S/UBE2C/CDC20	3
BP	GO:0090208	positive regulation of triglyceride metabolic process	3/263	22/18870	0.003388116	0.030048872	0.024932447	AADAC/APOA5/MFSD2A	3
BP	GO:0006775	fat-soluble vitamin metabolic process	4/263	45/18870	0.003508893	0.030931426	0.025664728	UGT1A4/TTPA/CYP3A4/CYP4F2	4
BP	GO:0033574	response to testosterone	4/263	45/18870	0.003508893	0.030931426	0.025664728	SPP1/CA9/SRD5A2/HMGCS2	4
BP	GO:0042594	response to starvation	9/263	218/18870	0.003599839	0.031637255	0.026250375	PDK4/CPS1/GCGR/ALB/MFSD2A/HMGCS2/PCK1/FOS/UGT1A1	9
BP	GO:0005996	monosaccharide metabolic process	10/263	261/18870	0.00374377	0.032803094	0.027217707	PDK4/IGF2/GNMT/SDS/ALDOA/FBP1/PKM/PCK1/G6PD/ALDOB	10
BP	GO:0042168	heme metabolic process	4/263	46/18870	0.003801633	0.033054636	0.027426419	BLVRA/SLCO1B1/UGT1A4/HPX	4
BP	GO:1901976	regulation of cell cycle checkpoint	4/263	46/18870	0.003801633	0.033054636	0.027426419	CCNB1/AURKB/CDCA8/BIRC5	4
BP	GO:0001889	liver development	7/263	142/18870	0.003806567	0.033054636	0.027426419	BAAT/CPS1/OTC/MDK/HMGCS2/PCK1/UGT1A1	7
BP	GO:0006740	NADPH regeneration	3/263	23/18870	0.003856576	0.033290143	0.027621827	ALDH1L1/G6PD/ALDOB	3
BP	GO:2000193	positive regulation of fatty acid transport	3/263	23/18870	0.003856576	0.033290143	0.027621827	ACSL1/CYP4A11/CYP4F2	3
BP	GO:0035924	cellular response to vascular endothelial growth factor stimulus	5/263	75/18870	0.003951653	0.033909616	0.028135821	HRG/HSPB1/VEGFB/MT1G/SPHK1	5
BP	GO:0061045	negative regulation of wound healing	5/263	75/18870	0.003951653	0.033909616	0.028135821	HRG/F11/FGA/PLG/FGG	5
BP	GO:0050798	activated T cell proliferation	4/263	47/18870	0.004110488	0.035168848	0.029180644	ARG1/IGF2/PYCARD/CD24	4
BP	GO:0090277	positive regulation of peptide hormone secretion	6/263	109/18870	0.004240855	0.036177854	0.030017847	ABAT/FGA/SPINK1/ANO1/FGG/SLC2A2	6
BP	GO:0061008	hepaticobiliary system development	7/263	145/18870	0.004268475	0.036307	0.030125003	BAAT/CPS1/OTC/MDK/HMGCS2/PCK1/UGT1A1	7
BP	GO:0031145	anaphase-promoting complex-dependent catabolic process	3/263	24/18870	0.004362572	0.03699919	0.030699333	UBE2S/UBE2C/CDC20	3
BP	GO:0002793	positive regulation of peptide secretion	6/263	111/18870	0.004634373	0.039190093	0.032517191	ABAT/FGA/SPINK1/ANO1/FGG/SLC2A2	6
BP	GO:0046850	regulation of bone remodeling	4/263	49/18870	0.00477815	0.040288807	0.033428827	PDK4/SPP1/MDK/HAMP	4
BP	GO:0032508	DNA duplex unwinding	5/263	79/18870	0.00493399	0.041482594	0.034419347	MCM7/TOP2A/HMGA1/MCM2/RECQL4	5
BP	GO:0062197	cellular response to chemical stress	11/263	317/18870	0.005081717	0.042601481	0.035347722	CDK1/GAS5/ROMO1/MMP9/FBP1/PYCARD/SPHK1/PYCR1/PCK1/G6PD/FOS	11
BP	GO:0010639	negative regulation of organelle organization	12/263	363/18870	0.005124622	0.042837713	0.03554373	CAPG/TOP2A/CCNB1/AURKB/CDCA8/TMSB10/STMN1/CDC20/BIRC5/ZWINT/TPX2/SPC24	12
BP	GO:0009914	hormone transport	11/263	319/18870	0.005321824	0.044358698	0.036805737	CRHBP/ABAT/SELENOM/SPP1/NMB/FGA/SPINK1/ANO1/SLCO1B1/FGG/SLC2A2	11
BP	GO:0042440	pigment metabolic process	5/263	81/18870	0.005485021	0.045588363	0.037826027	BLVRA/SLCO1B1/UGT1A4/HPX/UGT1A1	5
BP	GO:1901988	negative regulation of cell cycle phase transition	10/263	277/18870	0.0056594	0.046903692	0.038917395	CDK1/CCNB1/CDT1/AURKB/CDCA8/E2F1/CDC20/BIRC5/ZWINT/SPC24	10
BP	GO:0032368	regulation of lipid transport	7/263	153/18870	0.005707825	0.047170635	0.039138885	SPP1/CYP8B1/NMB/ACSL1/ABCB4/CYP4A11/CYP4F2	7
BP	GO:1901657	glycosyl compound metabolic process	5/263	82/18870	0.005776224	0.047600668	0.039495697	GNMT/NUDT1/GBA3/DTYMK/TK1	5
BP	GO:1901570	fatty acid derivative biosynthetic process	4/263	52/18870	0.005910374	0.048432601	0.040185976	ACSL1/SLC27A2/HMGCS2/SLC27A5	4
BP	GO:0008037	cell recognition	7/263	154/18870	0.005910476	0.048432601	0.040185976	FETUB/MBL2/FCN2/COLEC10/C4BPA/ALDOA/FCN3	7
BP	GO:0009081	branched-chain amino acid metabolic process	3/263	27/18870	0.006113969	0.04954188	0.041106378	SDS/ACADSB/ALDH6A1	3
BP	GO:0031639	plasminogen activation	3/263	27/18870	0.006113969	0.04954188	0.041106378	F11/FGA/FGG	3
BP	GO:0042104	positive regulation of activated T cell proliferation	3/263	27/18870	0.006113969	0.04954188	0.041106378	IGF2/PYCARD/CD24	3
BP	GO:0050996	positive regulation of lipid catabolic process	3/263	27/18870	0.006113969	0.04954188	0.041106378	AADAC/APOA5/ANGPTL3	3
BP	GO:0006909	phagocytosis	9/263	237/18870	0.006174169	0.049890719	0.04139582	MBL2/FCN2/COLEC10/C4BPA/FCN3/PYCARD/MARCO/SPHK1/AHSG	9
CC	GO:0072562	blood microparticle	21/266	144/19886	4.20E-16	1.04E-13	8.50E-14	C9/HRG/FCN2/A1BG/FGA/CP/SERPINC1/C4BPA/HPR/ALB/CPN2/PLG/FGG/AFM/C8A/FCN3/HPX/CD5L/CFHR3/HP/AHSG	21
CC	GO:0031093	platelet alpha granule lumen	10/266	67/19886	1.96E-08	2.44E-06	1.99E-06	HRG/A1BG/FGA/IGF2/ALB/PLG/FGG/VEGFB/ALDOA/AHSG	10
CC	GO:0034774	secretory granule lumen	18/266	322/19886	3.75E-07	1.86E-05	1.51E-05	HRG/ARG1/A1BG/FGA/IGF2/ALB/S100A11/PLG/FGG/VEGFB/ALDOA/S100P/PYCARD/HP/PKM/SPP2/SELENOP/AHSG	18
CC	GO:0031091	platelet alpha granule	10/266	91/19886	3.84E-07	1.86E-05	1.51E-05	HRG/A1BG/FGA/IGF2/ALB/PLG/FGG/VEGFB/ALDOA/AHSG	10
CC	GO:0060205	cytoplasmic vesicle lumen	18/266	325/19886	4.29E-07	1.86E-05	1.51E-05	HRG/ARG1/A1BG/FGA/IGF2/ALB/S100A11/PLG/FGG/VEGFB/ALDOA/S100P/PYCARD/HP/PKM/SPP2/SELENOP/AHSG	18
CC	GO:0031983	vesicle lumen	18/266	326/19886	4.49E-07	1.86E-05	1.51E-05	HRG/ARG1/A1BG/FGA/IGF2/ALB/S100A11/PLG/FGG/VEGFB/ALDOA/S100P/PYCARD/HP/PKM/SPP2/SELENOP/AHSG	18
CC	GO:0034364	high-density lipoprotein particle	6/266	26/19886	9.96E-07	3.53E-05	2.87E-05	HPR/SAA1/APOA5/SAA2/APOF/LCAT	6
CC	GO:0062023	collagen-containing extracellular matrix	19/266	429/19886	5.66E-06	0.000175608	0.00014311	F9/HRG/FCN2/A1BG/FGA/SERPINC1/PLG/FGG/GPC3/FCN3/MMP9/HPX/MDK/ANGPTL3/MARCO/S100A6/PKM/SPP2/AHSG	19
CC	GO:0034358	plasma lipoprotein particle	6/266	36/19886	7.53E-06	0.000176016	0.000143442	HPR/SAA1/APOA5/SAA2/APOF/LCAT	6
CC	GO:1990777	lipoprotein particle	6/266	36/19886	7.53E-06	0.000176016	0.000143442	HPR/SAA1/APOA5/SAA2/APOF/LCAT	6
CC	GO:0098687	chromosomal region	18/266	399/19886	7.81E-06	0.000176016	0.000143442	MCM7/TOP2A/KIF2C/CDK1/CCNB1/CDT1/AURKB/CENPW/CDCA8/FEN1/CENPM/CDC20/BIRC5/MCM2/CDCA5/RECQL4/ZWINT/SPC24	18
CC	GO:1905370	serine-type endopeptidase complex	4/266	11/19886	9.59E-06	0.000198259	0.000161569	MBL2/FCN2/COLEC10/FCN3	4
CC	GO:0032994	protein-lipid complex	6/266	39/19886	1.22E-05	0.000232645	0.000189592	HPR/SAA1/APOA5/SAA2/APOF/LCAT	6
CC	GO:1905286	serine-type peptidase complex	4/266	13/19886	2.04E-05	0.000360497	0.000293783	MBL2/FCN2/COLEC10/FCN3	4
CC	GO:0005788	endoplasmic reticulum lumen	15/266	313/19886	2.25E-05	0.000371232	0.000302532	F9/SELENOM/SPP1/FGA/IGFBP1/CP/SERPINC1/ALB/SLC27A2/APOA5/FGG/GPC3/SPP2/AFP/AHSG	15
CC	GO:0000775	"chromosome, centromeric region"	13/266	258/19886	4.75E-05	0.000735502	0.00059939	TOP2A/KIF2C/CCNB1/CDT1/AURKB/CENPW/CDCA8/CENPM/CDC20/BIRC5/CDCA5/ZWINT/SPC24	13
CC	GO:0005782	peroxisomal matrix	6/266	51/19886	5.89E-05	0.000810977	0.000660898	BAAT/HAO2/EHHADH/AGXT/EPHX2/HAO1	6
CC	GO:0031907	microbody lumen	6/266	51/19886	5.89E-05	0.000810977	0.000660898	BAAT/HAO2/EHHADH/AGXT/EPHX2/HAO1	6
CC	GO:0000776	kinetochore	10/266	171/19886	0.000105767	0.001380539	0.001125057	KIF2C/CCNB1/CDT1/AURKB/CENPW/CENPM/CDC20/BIRC5/ZWINT/SPC24	10
CC	GO:0000779	"condensed chromosome, centromeric region"	10/266	182/19886	0.000176465	0.002188163	0.001783222	KIF2C/CCNB1/CDT1/AURKB/CENPW/CENPM/CDC20/BIRC5/ZWINT/SPC24	10
CC	GO:0005759	mitochondrial matrix	17/266	487/19886	0.000321413	0.003795731	0.003093295	PDK4/CPS1/ABAT/CDK1/CCNB1/OTC/AASS/NUDT1/GLYAT/ACSM2A/ACSM5/HMGCS2/DMGDH/PYCR1/ACADSB/DTYMK/ALDH6A1	17
CC	GO:0046930	pore complex	4/266	26/19886	0.000371063	0.004182891	0.003408807	C9/C6/C8A/C7	4
CC	GO:0005777	peroxisome	8/266	143/19886	0.000692902	0.007159992	0.005834968	BAAT/ACSL1/SLC27A2/HAO2/EHHADH/AGXT/EPHX2/HAO1	8
CC	GO:0042579	microbody	8/266	143/19886	0.000692902	0.007159992	0.005834968	BAAT/ACSL1/SLC27A2/HAO2/EHHADH/AGXT/EPHX2/HAO1	8
CC	GO:0000793	condensed chromosome	11/266	281/19886	0.001482141	0.014702834	0.011981936	TOP2A/KIF2C/CCNB1/CDT1/AURKB/CENPW/CENPM/CDC20/BIRC5/ZWINT/SPC24	11
CC	GO:0000940	outer kinetochore	3/266	20/19886	0.002279433	0.02174228	0.017718667	CCNB1/ZWINT/SPC24	3
CC	GO:0005680	anaphase-promoting complex	3/266	21/19886	0.002633243	0.024186828	0.019710828	UBE2S/UBE2C/CDC20	3
CC	GO:0071682	endocytic vesicle lumen	3/266	23/19886	0.003437965	0.030450543	0.024815383	SAA1/HPX/HP	3
CC	GO:0022626	cytosolic ribosome	6/266	118/19886	0.00512544	0.043831352	0.035719947	RPSA/RPS21/RPL8/RPS19/RPLP2/RPL36A	6
CC	GO:1905369	endopeptidase complex	5/266	84/19886	0.005394637	0.044423272	0.036202327	MBL2/FCN2/COLEC10/HSPB1/FCN3	5
CC	GO:0005819	spindle	13/266	431/19886	0.005552909	0.044423272	0.036202327	SAC3D1/CAPG/KIF2C/CDK1/CCNB1/AURKB/CDCA8/TACC3/HSPB1/CDC20/KIFC1/BIRC5/TPX2	13
CC	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	4/266	54/19886	0.005860103	0.0447631	0.036479267	CDK1/CCNB1/CCNB2/CKS2	4
CC	GO:0005581	collagen trimer	5/266	86/19886	0.00595638	0.0447631	0.036479267	MBL2/FCN2/COLEC10/FCN3/MARCO	5
MF	GO:0016712	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen"	12/262	43/18496	5.27E-13	1.91E-10	1.46E-10	CYP2C9/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CYP4A22/CYP3A4/CYP4F2/CYP2B6/CYP2A6	12
MF	GO:0016614	"oxidoreductase activity, acting on CH-OH group of donors"	18/262	135/18496	7.09E-13	1.91E-10	1.46E-10	HSD17B6/ADH1A/RDH16/HSD17B13/ADH4/HAO2/HSD11B1/AKR7A3/ADH6/EHHADH/AKR1D1/SRD5A2/ADH1C/CYP4A22/CYP4F2/G6PD/HAO1/ADH1B	18
MF	GO:0004497	monooxygenase activity	15/262	104/18496	1.93E-11	3.47E-09	2.64E-09	CYP2C9/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/PAH/AKR1D1/FMO3/CYP4A22/CYP3A4/CYP4F2/CYP2B6/CYP2A6	15
MF	GO:0008391	arachidonic acid monooxygenase activity	8/262	18/18496	5.64E-11	7.61E-09	5.79E-09	CYP2C9/CYP2C8/CYP2E1/CYP4A11/CYP4A22/CYP4F2/CYP2B6/CYP2A6	8
MF	GO:0004745	NAD-retinol dehydrogenase activity	8/262	20/18496	1.58E-10	1.71E-08	1.30E-08	HSD17B6/ADH1A/RDH16/HSD17B13/ADH4/ADH6/ADH1C/ADH1B	8
MF	GO:0016616	"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"	15/262	125/18496	2.81E-10	2.53E-08	1.92E-08	HSD17B6/ADH1A/RDH16/HSD17B13/ADH4/HSD11B1/AKR7A3/ADH6/EHHADH/AKR1D1/SRD5A2/ADH1C/CYP4A22/G6PD/ADH1B	15
MF	GO:0005506	iron ion binding	16/262	153/18496	5.63E-10	4.35E-08	3.30E-08	CYP2C9/CYP39A1/CYP8B1/CYP2C8/CYP2E1/CYP1A2/CYP4A11/CDO1/PAH/AOX1/CYP4A22/CYP3A4/CYP4F2/CYP2B6/RRM2/CYP2A6	16
